variable;variable_old;item;text;info
-tp_8n;TP_8;Innovative Services machen Transaktionen einfacher.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Innovative Services machen Transaktionen einfacher.;"{""ImportId"":""QID13_8""}"
-tp_9n;TP_9;Ich finde es angenehm, dass innovative Services so bequem sind.;Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich finde es angenehm, dass innovative Services so bequem sind.;"{""ImportId"":""QID13_9""}"
q21_1;Q21_1;Ich beabsichtige, die beschriebene KI zu nutzen;Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID21_1""}"
q21_2;Q21_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID21_2""}"
q21_3;Q21_3;Ich würde das System in Zukunft gern nutzen;Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID21_3""}"
q23_1;Q23_1;Ich beabsichtige, die beschriebene KI zu nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID23_1""}"
q23_2;Q23_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID23_2""}"
q23_3;Q23_3;Ich würde das System in Zukunft gern nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID23_3""}"
q22_1;Q22_1;Ich beabsichtige, die beschriebene KI zu nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID22_1""}"
q22_2;Q22_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID22_2""}"
q22_3;Q22_3;Ich würde das System in Zukunft gern nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID22_3""}"
q24_1;Q24_1;Ich beabsichtige, die beschriebene KI zu nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID24_1""}"
q24_2;Q24_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID24_2""}"
q24_3;Q24_3;Ich würde das System in Zukunft gern nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID24_3""}"
